Author	n (strains)	publication title	journal	publication URL	strains
Subangkit et al	1	unknown	unknown	unknown	hCoV-19/Indonesia/JK-NIHRD-c002133013/2021
Thomas Demuyser et al	1	unknown	unknown	unknown	hCoV-19/Belgium/MR71DY1719/2020
Anthony LEVASSEUR et al	2	unknown	unknown	unknown	hCoV-19/France/PAC-IHU-12447_Nova1/2020,hCoV-19/France/PAC-IHU-8447_Illu1/2021
Victor M Corman et al	9	unknown	unknown	unknown	hCoV-19/Germany/BE-ChVir8992/2020,hCoV-19/Germany/BE-ChVir-D2004-8247/2020,hCoV-19/Albania/IPH-DR-0076/2021,hCoV-19/Germany/SH-ChVir20807/2020,hCoV-19/Azerbaijan/un-ChVir8085/2020,hCoV-19/Azerbaijan/un-ChVir24287_225/2020,hCoV-19/Kyrgyzstan/ChVir-32759/2020,hCoV-19/Germany/BE-ChVirD24-01754/2024,hCoV-19/Germany/BB-ChVir44472/2023
Pilailuk Okada et al	11	unknown	unknown	unknown	hCoV-19/Thailand/Chonburi_PN0160/2020,hCoV-19/Thailand/Chonburi-SQ-RF0001/2020,hCoV-19/Thailand/NIC_PKT_P3188/2024,hCoV-19/Thailand/NIC_TAK_P1873/2024,hCoV-19/Thailand/NIC_BKK_1932/2024,hCoV-19/Thailand/NIC_BKK_FRS999/2024,hCoV-19/Thailand/NIC_BKK_P2551/2024,hCoV-19/Thailand/NIC_CRI_FRS616/2024,hCoV-19/Thailand/NIC_STI_8112/2023,hCoV-19/Thailand/NIC_RNG_POS180/2023,hCoV-19/Thailand/NIC_BKK_SJRV867/2023
Tim Roloff et al	1	unknown	unknown	unknown	hCoV-19/Switzerland/BS-UHB-42551176/2020
?	18	unknown	unknown	unknown	hCoV-19/Germany/BW-RKI-I-040059/2021,hCoV-19/Germany/BW-RKI-I-050566/2021,hCoV-19/Germany/SH-RKI-I-379130/2021,hCoV-19/Germany/NI-RKI-I-234846/2021,hCoV-19/Germany/SH-RKI-I-279263/2021,hCoV-19/Germany/BW-RKI-I-1062876/2021,hCoV-19/Germany/HE-RKI-I-204935/2021,hCoV-19/Germany/RP-RKI-I-098896/2021,hCoV-19/Germany/BW-RKI-I-178452/2021,hCoV-19/Germany/NW-RKI-I-146382/2021,hCoV-19/Germany/BW-RKI-I-1091848/2023,hCoV-19/Germany/TH-RKI-I-1006784/2022,hCoV-19/Germany/BY-RKI-I-665061/2022,hCoV-19/Germany/RP-RKI-I-851434/2022,hCoV-19/Germany/BY-RKI-I-751915/2022,hCoV-19/Germany/BY-RKI-I-874994/2022,hCoV-19/Germany/SN-RKI-I-1133470/2023,hCoV-19/Germany/BW-RKI-I-1116631/2023
Adam Meijer et al	8	unknown	unknown	unknown	hCoV-19/Netherlands/UT-RIVM-13158/2021,hCoV-19/Ukraine/UA-RIVM-21914/2020,hCoV-19/Netherlands/LI-RIVM-114315/2022,hCoV-19/Netherlands/FR-RIVM-112023/2022,hCoV-19/Netherlands/OV-RIVM-136167/2023,hCoV-19/Netherlands/GE-RIVM-140566/2024,hCoV-19/Netherlands/FR-RIVM-131615/2023,hCoV-19/Netherlands/UT-RIVM-128403/2023
Keith Durkin et al	1	unknown	unknown	unknown	hCoV-19/Belgium/ULG-11591/2021
Smaoui Hanene et al	1	unknown	unknown	unknown	hCoV-19/Tunisia/Tunis-5453/2021
Zekri et al	1	unknown	unknown	unknown	hCoV-19/Egypt/CUNCI-HGC11I036/2021
Hana Apsari Pawestri et al	20	unknown	unknown	unknown	hCoV-19/Indonesia/BA-NIHRD-WGS03513/2021,hCoV-19/Indonesia/JK-NIHRD-C00-21-00174/2020,hCoV-19/Indonesia/PB-NIHRD-WGS08891/2021,hCoV-19/Indonesia/RI-NIHRD-WGS.22.03313/2022,hCoV-19/Indonesia/JK-NIHRD-MI2111911/2021,hCoV-19/Indonesia/JK-GS-NIHRD-WGS11432/2021,hCoV-19/Indonesia/JK-GS-NIHRD-WGS11913/2021,hCoV-19/Indonesia/JK-NIHRD-WGS12269/2021,hCoV-19/Indonesia/JK-NIHRD-WGS13346/2021,hCoV-19/Indonesia/BA-NIHRD-WGS_22_02586/2022,hCoV-19/Indonesia/JK-NIHRD-MI_22_01043/2021,hCoV-19/Indonesia/JK-NIHRD-MI.22.01629/2022,hCoV-19/Indonesia/JK-NIHRD-W03862/2023,hCoV-19/Indonesia/JK-NIHRD-WGS-22-37231/2022,hCoV-19/Indonesia/JK-NIHRD-W03482/2023,hCoV-19/Indonesia/SS-NIHRD-W03206/2023,hCoV-19/Indonesia/JK-NIHRD-W01928/2023,hCoV-19/Indonesia/JK-NIHRD-W03372/2023,hCoV-19/Indonesia/RI-NIHRD-W03502/2023,hCoV-19/Indonesia/JK-NIHRD-W03864/2023
Dian Tri Wahyudi et al	1	unknown	unknown	unknown	hCoV-19/Indonesia/JK-GS-GSILab-EOCRU-700319/2021
Yang Song2* et al	2	unknown	unknown	unknown	hCoV-19/Beijing/IVDC-07/2020,hCoV-19/Beijing/IVDC-06/2020
Dhahlia Agustina Cahyono et al	1	unknown	unknown	unknown	hCoV-19/Indonesia/JK-GS-GSILab-EOCRU-700377/2021
Iskandar Adnan et al	2	unknown	unknown	unknown	hCoV-19/Indonesia/BA-EIJK-UNWAR-074/2021,hCoV-19/Indonesia/BB-EIJK-MRINUPH-0152/2021
Vivi Setiawaty et al	3	unknown	unknown	unknown	hCoV-19/Indonesia/NB-NIHRD-ES1527114051W/2021,hCoV-19/Indonesia/JK-NIHRD-WGS12660/2021,hCoV-19/Indonesia/BT-NIHRD-c002181271/2021
Kartika Dewi Puspa et al	3	unknown	unknown	unknown	hCoV-19/Indonesia/SU-NIHRD-WGS01894/2021,hCoV-19/Indonesia/BA-NIHRD-WGS14849/2021,hCoV-19/Indonesia/JK-NIHRD-WGS12487/2021
Sofi Siti Shofiyah et al	1	unknown	unknown	unknown	hCoV-19/Indonesia/KB-UNTAN-C212112752/2021
Wang et al	17	unknown	unknown	unknown	hCoV-19/China/ZCMU-S145-1286-245712/2021,hCoV-19/China/ZCMU-S152-1424-258056/2021,hCoV-19/China/ZCMU-S192-2034-338610/2021,hCoV-19/China/ZCMU-S191-2033-041191/2021,hCoV-19/China/ZCMU-S257-3853-057257/2021,hCoV-19/China/ZCMU-S874-5629-662331/2022,hCoV-19/Shanxi/TYCDC-149/2023,hCoV-19/Shanxi/TYCDC372/2023,hCoV-19/China/ZCMU-S615-2116-137615/2022,hCoV-19/China/ZCMU-S511-1668-562894/2022,hCoV-19/Sichuan/GACDC-18240228/2024,hCoV-19/Sichuan/ZGCDC-zgxg252/2024,hCoV-19/Sichuan/ZGCDC-zgxg190/2024,hCoV-19/Shanxi/TYCDC292/2023,hCoV-19/Shanxi/TYCDC286/2023,hCoV-19/Henan/HBCDC-CX124/2023,hCoV-19/Sichuan/ZGCDC-zgxg430/2023
Soares da Silva et al	1	unknown	unknown	unknown	hCoV-19/Timor-Leste/TL454/2021
Listiana Oktavia et al	1	unknown	unknown	unknown	hCoV-19/Indonesia/KR-BTM-LIPI-NIHRD-0106/2021
Fedik Abdul Rantam et al	1	unknown	unknown	unknown	hCoV-19/Indonesia/JI-RSDS-RCVTD-UNAIR-6B/2020
Rima R Prasetya et al	5	unknown	unknown	unknown	hCoV-19/Indonesia/JI-ITD-17398NT/2020,hCoV-19/Indonesia/JI-ITD-55679NT/2022,hCoV-19/Indonesia/JI-ITD-60401N/2022,hCoV-19/Indonesia/JI-ITD-61648N/2023,hCoV-19/Indonesia/JI-ITD-61096NT/2023
Sharif Hala et al	1	unknown	unknown	unknown	hCoV-19/SaudiArabia/KAUST-MAKKAH150/2020
Ikawati et al	1	unknown	unknown	unknown	hCoV-19/Indonesia/AC-NIHRD-PME4523/2020
Mahesh S. Dhar1* et al	1	unknown	unknown	unknown	hCoV-19/India/UT-67341-CSIR-IGIB/2020
Murali Bashyam et al	11	unknown	unknown	unknown	hCoV-19/India/RJ-4978/2020,hCoV-19/India/RJ-5046/2020,hCoV-19/India/RJ-4717/2020,hCoV-19/India/TG-CDFD-67601/2021,hCoV-19/India/TG-CDFD-ST26/2021,hCoV-19/India/UP-CDFD-MBU2566/2021,hCoV-19/India/TG-CDFD-ncov-118306/2021,hCoV-19/India/RJ-4671/2020,hCoV-19/India/RJ-4683/2020,hCoV-19/India/RJ-5013/2020,hCoV-19/India/RJ-5012/2020
ANDLEEB HANIF et al	2	unknown	unknown	unknown	hCoV-19/Pakistan/PPHRL-AH003/2021,hCoV-19/Pakistan/PPHRL-AH50/2021
Nidhi Patel et al	1	unknown	unknown	unknown	hCoV-19/India/GJ-GBRC217b/2020
Kamlesh J Upadhyay et al	1	Genomic variations in SARS-CoV-2 genomes from Gujarat: Underlying role of variants in disease epidemiology	unknown	https://www.biorxiv.org/content/10.1101/2020.07.10.197095v1	hCoV-19/India/GJ-GBRC183a/2020
Afzal Ansari et al	1	unknown	unknown	unknown	hCoV-19/India/GJ-GBRC-427b/2020
V Salimi et al	1	unknown	unknown	unknown	hCoV-19/Iran/Ghilan-M30-241/2020
Irfan et al	4	unknown	unknown	unknown	hCoV-19/Pakistan/JRCGR_SCV-53_IBGE-05/2020,hCoV-19/Pakistan/JRCGR_SCV-70/2020,hCoV-19/Pakistan/JRCGR_SCV-49_IBGE-01/2020,hCoV-19/Pakistan/JRCGR_SCV-68/2020
Samina Naz Mukry et al	1	unknown	unknown	unknown	hCoV-19/Pakistan/NIBD-04-KHI/2020
Shreekant Verma et al	3	unknown	unknown	unknown	hCoV-19/India/TG-RFCH00605_CIB2906/2021,hCoV-19/India/TG-CCMB-CIA2905/2021,hCoV-19/India/TG-CCMB-CIA7375/2021
Pallavali Roja Rani et al	3	unknown	unknown	unknown	hCoV-19/India/AP-CS0851/2020,hCoV-19/India/AP-CS0391/2020,hCoV-19/India/AP-CS0838/2020
Payel Mukherjee et al	15	unknown	unknown	unknown	hCoV-19/India/TG-CCMB-AR473/2020,hCoV-19/India/TG-CCMB-AZ458/2020,hCoV-19/India/TG-CCMB-AO022/2020,hCoV-19/India/TG-CCMB-BA736/2020,hCoV-19/India/TG-CCMB-AQ416/2020,hCoV-19/India/TG-CCMB-BB008/2020,hCoV-19/India/AP-CCMB-CIA5500/2021,hCoV-19/India/TG-CCMB-CIA2653/2021,hCoV-19/India/TG-CCMB-AL710/2020,hCoV-19/India/TG-CCMB-AJ493/2020,hCoV-19/India/TG-CCMB-AW612/2020,hCoV-19/India/TG-CCMB-AR152/2020,hCoV-19/India/TG-CCMB-AG303/2020,hCoV-19/India/TG-CCMB-X838/2020,hCoV-19/India/TG-CCMB-AC284/2020
Amareshwar Vodapalli et al	1	unknown	unknown	unknown	hCoV-19/India/TG-RFCH01911_CIB5647/2020
Chitra Pattabiraman et al	3	unknown	unknown	unknown	hCoV-19/India/KA-NIMH-SEQ-215/2021,hCoV-19/India/KA-NIMH-SEQ-1176/2021,hCoV-19/India/KA-NIMH-SEQ-8/2020
Malini Nemalikanti et al	2	unknown	unknown	unknown	hCoV-19/India/TG-RFCH01692_CIB5421/2020,hCoV-19/India/AP-CCMB-CIB8059/2021
Tulasi Nagabandi et al B	5	unknown	unknown	unknown	hCoV-19/India/TG-CCMB-CIA3365/2021,hCoV-19/India/AP-CCMB-CIB0323/2021,hCoV-19/India/TG-RFCH05138_CIC9350/2022,hCoV-19/India/TG-CCMB-GMCH-CID7410/2023,hCoV-19/India/TG-CCMB-GMCH-CID7849/2023
Ara Sreenivas et al	4	unknown	unknown	unknown	hCoV-19/India/MH-NEERI-NGP-35003/2021,hCoV-19/India/TG-CCMB-CIA2476/2021,hCoV-19/India/MH-NEERI-NGP-24149/2020,hCoV-19/India/AP-CCMB-CIC4509/2022
Sunil K. Raghav et al	12	unknown	unknown	unknown	hCoV-19/India/OR-ILSGS00031/2021,hCoV-19/India/JH-ILSGS02022/2021,hCoV-19/India/OR-ILSGS08150/2021,hCoV-19/India/OR-ILSGS00024/2021,hCoV-19/India/OR-ILSGS00018/2020,hCoV-19/India/OR-ILSGS00162/2020,hCoV-19/India/OR-ILSGS13494/2022,hCoV-19/India/JH-ILSGS14414/2022,hCoV-19/India/NA-GS20119/2022,hCoV-19/India/UP-ILSGS21284/2023,hCoV-19/India/CT-ILSGS21139/2023,hCoV-19/India/OR-ILSGS21813/2023
Radhakrishnan V. S et al	4	unknown	unknown	unknown	hCoV-19/India/HP-NCDC-INSACOG-5095/2021,hCoV-19/India/DL-NCDC-90960/2020,hCoV-19/India/DL-NCDC-3009110/2021,hCoV-19/India/DL-NCDC-90918/2020
National Public Health Laboratory Team / Quadrum Institute Bioscience UK Team (NVAP for funding /Administration) et al	3	unknown	unknown	unknown	hCoV-19/Nepal/NPHL-S-976/2020,hCoV-19/Nepal/NPHL-S-952/2020,hCoV-19/Nepal/NPHL-S-964/2020
Manoj K Singh et al	2	unknown	unknown	unknown	hCoV-19/India/DL-NCDC-809187/2020,hCoV-19/India/DL-NCDC-709311/2020
Priyanka Singh et al	2	unknown	unknown	unknown	hCoV-19/India/JK-NCDC-1109251/2020,hCoV-19/India/DL-NCDC-609232/2020
Uma Sharma et al	2	unknown	unknown	unknown	hCoV-19/India/DL-NCDC-709291/2020,hCoV-19/India/MH-NCDC-1109314/2021
Romi Wahengbam et al	8	unknown	unknown	unknown	hCoV-19/India/AS-NEIST-INSACOG-R7-CIDIN0525/2020,hCoV-19/India/AS-CSIR-NEIST-INSACOG-NEIST14-CIDIN0918/2020,hCoV-19/India/AS-NEIST-INSACOG-R11-CIDIN0647/2020,hCoV-19/India/AS-NEIST-INSACOG-R8-CIDIN0546/2020,hCoV-19/India/AR-CSIR-NEIST-INSACOG-NEIST14-CID0116/2021,hCoV-19/India/AS-NEIST-INSACOG-R7-CIDIN0457/2021,hCoV-19/India/AS-NEIST-INSACOG-R6-CIDIN0435/2020,hCoV-19/India/AS-NEIST-INSACOG-R13-CIDIN0814/2020
Htay Htay Tin et al	1	unknown	unknown	unknown	hCoV-19/Myanmar/98826-20/2020
Oo et al	1	unknown	unknown	unknown	hCoV-19/Myanmar/DSMRC-006/2021
Kuo-Chien Tsao et al	2	unknown	unknown	unknown	hCoV-19/Taiwan/CGMH-CGU-36/2020,hCoV-19/Taiwan/CGMH-CGU-89/2021
Meiling Zhang et al	45	unknown	unknown	unknown	hCoV-19/Yunnan/02/2020,hCoV-19/Yunnan/03/2020,hCoV-19/Yunnan/RLC88/2021,hCoV-19/Yunnan/RLC71/2021,hCoV-19/Yunnan/RLC63/2021,hCoV-19/Yunnan/RLC34/2021,hCoV-19/Yunnan/RLC37/2021,hCoV-19/Yunnan/RLC16/2021,hCoV-19/Yunnan/RLC25/2021,hCoV-19/Yunnan/RLC26/2021,hCoV-19/Yunnan/RLC8/2021,hCoV-19/Yunnan/RLC6/2021,hCoV-19/Yunnan/RLC22/2021,hCoV-19/Yunnan/RLC2/2021,hCoV-19/Yunnan/RLC69/2021,hCoV-19/Yunnan/RLC66/2021,hCoV-19/Yunnan/RLC33/2021,hCoV-19/Yunnan/RLC44/2021,hCoV-19/Yunnan/RLC23/2021,hCoV-19/Yunnan/RLC35/2021,hCoV-19/Yunnan/RLC15/2021,hCoV-19/Yunnan/RLC89/2021,hCoV-19/Yunnan/RLC79/2021,hCoV-19/Yunnan/RLD76/2021,hCoV-19/Yunnan/RLD73/2021,hCoV-19/Yunnan/RLD72/2021,hCoV-19/Yunnan/YN-52/2021,hCoV-19/Yunnan/RLD92/2021,hCoV-19/Yunnan/RLD90/2021,hCoV-19/Yunnan/YN-51/2021,hCoV-19/Yunnan/RLD115/2021,hCoV-19/Yunnan/YN-10/2021,hCoV-19/Yunnan/YN-38/2021,hCoV-19/Yunnan/RLD94/2021,hCoV-19/Yunnan/RLD57/2021,hCoV-19/Yunnan/RLD203/2021,hCoV-19/Yunnan/RLD259/2021,hCoV-19/Yunnan/RLD81/2021,hCoV-19/Yunnan/RLD49/2021,hCoV-19/Yunnan/YN-20/2021,hCoV-19/Yunnan/YN-25/2021,hCoV-19/Yunnan/RLD215/2021,hCoV-19/Yunnan/RLD119/2021,hCoV-19/Yunnan/RLD147/2021,hCoV-19/Yunnan/YN-03/2021
Yeong-un Lee et al	1	unknown	unknown	unknown	hCoV-19/SouthKorea/GJ-HERI-A0141/2021
Hassan Ihazmade et al	8	unknown	unknown	unknown	hCoV-19/Morocco/INH-4953/2021,hCoV-19/Morocco/CP15015-INH/2020,hCoV-19/Morocco/INH-P783/2020,hCoV-19/Morocco/INH-1043/2021,hCoV-19/Morocco/759/2022,hCoV-19/Morocco/NIH-1193/2022,hCoV-19/Morocco/INH-1286/2023,hCoV-19/Morocco/NIC-1313/2023
Adedolapo Blessing Olorunfemi et al	2	unknown	unknown	unknown	hCoV-19/Nigeria/CERID-09/2020,hCoV-19/Nigeria/CERID-12/2020
Ramon Lorenzo-Redondo et al	4	unknown	unknown	unknown	hCoV-19/Mali/MAL0118/2021,hCoV-19/Mali/MAL0142/2021,hCoV-19/Nigeria/BCVL-18579/2021,hCoV-19/Nigeria/BCVL-24860/2021
Collins M. Morang'a et al	3	unknown	unknown	unknown	hCoV-19/Ghana/WACCBIP-GS721/2021,hCoV-19/Ghana/WACCBIP-GS647/2021,hCoV-19/Ghana/WACCBIP-GS2988/2022
Dr Ndodo Nnaemeka et al	26	unknown	unknown	unknown	hCoV-19/Nigeria/NCDC-FCT-1V/2021,hCoV-19/Nigeria/NCDC-FCT-9i/2021,hCoV-19/Nigeria/NCDC-NR120/2021,hCoV-19/Nigeria/NCDC-NR-GL-004008/2021,hCoV-19/Nigeria/NCDC-NR1005/2021,hCoV-19/Nigeria/NCDC-NR1550/2021,hCoV-19/Nigeria/NCDC-NR1457/2021,hCoV-19/Nigeria/NCDC-NR-GL-005801/2022,hCoV-19/Nigeria/NCDC-NR-GL-006482/2022,hCoV-19/Nigeria/NCDC-NRL-GL-006290/2022,hCoV-19/Nigeria/NCDC-NR-GL-INF-18995/2023,hCoV-19/Nigeria/NCDC-NR-GL-006465/2022,hCoV-19/Nigeria/NCDC-NR-GL-0034/2023,hCoV-19/Nigeria/NCDC-NR-GL-004790/2022,hCoV-19/Nigeria/NCDC-NR-GL-005345/2022,hCoV-19/Nigeria/NCDC-NRL-GL-0218/2023,hCoV-19/Nigeria/NCDC-NR-GL-00201/2023,hCoV-19/Nigeria/NCDC-NR-GL-00172/2023,hCoV-19/Nigeria/NCDC-NR-GL-00192/2023,hCoV-19/Nigeria/NCDC-NR-GL-00213/2023,hCoV-19/Nigeria/NCDC-NR-GL-00254/2023,hCoV-19/Nigeria/NCDC-NR-GL-00249/2023,hCoV-19/Nigeria/NCDC-NR-GL-00251/2023,hCoV-19/Nigeria/NCDC-NR-GL-00205/2023,hCoV-19/Nigeria/NCDC-NRL-GL-00232/2023,hCoV-19/Nigeria/NCDC-AFI-00122/2023
Lagare Adamou et al	2	unknown	unknown	unknown	hCoV-19/Niger/CE45/2021,hCoV-19/Niger/CE-2639/2021
Anna-Lena Sander et al	1	unknown	unknown	unknown	hCoV-19/Benin/254286/2021
Mohammed A Samad et al	1	unknown	unknown	unknown	hCoV-19/Bangladesh/BLRI_COVID-19_260/2020
Ivan Ivanov et al	2	unknown	unknown	unknown	hCoV-19/Bulgaria/41/2020,hCoV-19/Bulgaria/34/2020
Peng Li et al	1	unknown	unknown	unknown	hCoV-19/env/Beijing/BJ2457/2020
Robert Paulino-Ramirez et al	1	unknown	unknown	unknown	hCoV-19/DominicanRepublic/ICGEB_UNIBE032.2/2020
Neta Zuckerman et al	1	unknown	unknown	unknown	hCoV-19/Israel/CVL_40904/2020
Suppiah J et al	2	unknown	unknown	unknown	hCoV-19/Malaysia/IMR-CV138551/2020,hCoV-19/Malaysia/IMR_WI116/2020
Maharshi Pandya et al	1	unknown	unknown	unknown	hCoV-19/India/GJ-GBRC-423a/2020
Nelly Amador et al	1	unknown	unknown	unknown	hCoV-19/Honduras/47131/2021
Giandhari J et al	4	unknown	unknown	unknown	hCoV-19/SouthAfrica/KRISP-K004316/2020,hCoV-19/SouthAfrica/KRISP-0122/2020,hCoV-19/Angola/KRISP-K019106/2021,hCoV-19/SouthAfrica/KRISP-K003339/2020
Muhammad Shuaib et al	1	unknown	unknown	unknown	hCoV-19/SaudiArabia/KAUST-RIYADH1240/2020
Celia Boukadida et al	2	unknown	unknown	unknown	hCoV-19/Mexico/CMX-INER-0213/2020,hCoV-19/Mexico/CMX-INER-0016/2020
CZB Cliahub Consortium et al	1	unknown	unknown	unknown	hCoV-19/USA/CA-CZB-11184/2020
Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al	8	unknown	unknown	unknown	hCoV-19/Mexico/CMX-INER-IBT-0341/2020,hCoV-19/Mexico/NAY_IBT_IMSS_2280/2021,hCoV-19/Mexico/CMX-INER-IBT-1031/2020,hCoV-19/Mexico/ZAC_INER_IMSS_1215/2021,hCoV-19/Mexico/PUE_INER_IMSS_00927/2021,hCoV-19/Mexico/MEX_IBT_IMSS_9451/2022,hCoV-19/Mexico/PUE-IBT-IMSS-8923/2022,hCoV-19/Mexico/CAM_IBT_IMSS_7519/2022
Tapfumanei Mashe et al	2	unknown	unknown	unknown	hCoV-19/Zimbabwe/ZW-33039/2020,hCoV-19/Zimbabwe/QIBZIM-SM2571/2021
Gordon P et al	1	unknown	unknown	unknown	hCoV-19/Canada/AB-92902/2020
Kouriba et al	1	unknown	unknown	unknown	hCoV-19/Mali/M002700/2020
Grayo Solene et al	2	unknown	unknown	unknown	hCoV-19/Guinea/Conakry_IPG11884/2020,hCoV-19/Guinea/Conakry_IPG13068/2020
Lukas Endler et al	3	unknown	unknown	unknown	hCoV-19/Austria/CeMM1371/2020,hCoV-19/Austria/CeMM20300/2021,hCoV-19/Austria/CeMM7774/2021
Molalegne Bitew et al	4	unknown	unknown	unknown	hCoV-19/Ethiopia/ICGEB-S14/2021,hCoV-19/Ethiopia/ICGEB-S3/2021,hCoV-19/Ethiopia/ICGEB-S12/2021,hCoV-19/Ethiopia/ICGEB-S4/2021
Alemayehu et al	3	unknown	unknown	unknown	hCoV-19/Ethiopia/AH-001/2020,hCoV-19/Ethiopia/AH-003/2020,hCoV-19/Ethiopia/AH-002/2020
Mr. Dawit Hailu Alemayehu et al	2	unknown	unknown	unknown	hCoV-19/Ethiopia/AHRI-001/2020,hCoV-19/Ethiopia/AHRI-003/2020
Weldemariam et al	1	unknown	unknown	unknown	hCoV-19/Ethiopia/39650/2020
Atsbeha G Weldemariam et al	4	unknown	unknown	unknown	hCoV-19/Ethiopia/11665/2021,hCoV-19/Ethiopia/ET2108135/2021,hCoV-19/Ethiopia/ET2108123/2021,hCoV-19/Ethiopia/ET2108104/2021
David Nieuwenhuijse et al	1	Rapid SARS-CoV-2 whole genome sequencing for informed public health decision making in the Netherlands	unknown	https://dx.doi.org/10.1038/s41591-020-0997-y	hCoV-19/Netherlands/NoordBrabant_16/2020
Yvan Butera et al	1	unknown	unknown	unknown	hCoV-19/Rwanda/NRLNAT2076/2020
Jaqueline Goes de Jesus et al	1	First cases of coronavirus disease (COVID-19) in Brazil, South America	unknown	https://virological.org/t/first-cases-of-coronavirus-disease-covid-19-in-brazil-south-america-2-genomes-3rd-march-2020/409	hCoV-19/Brazil/SP-01/2020
Goba et al	2	unknown	unknown	unknown	hCoV-19/SierraLeone/KGH-G-8627/2020,hCoV-19/SierraLeone/KGH-G-8549/2020
Borges et al	4	unknown	unknown	unknown	hCoV-19/Portugal/PT1645/2020,hCoV-19/Portugal/PT9193/2021,hCoV-19/Portugal/PT43181/2022,hCoV-19/Portugal/PT50626/2023
Gytis Dudas et al	1	unknown	unknown	unknown	hCoV-19/Lithuania/ID6844/2021
Ana Carvajal et al	1	unknown	unknown	unknown	hCoV-19/Spain/CL-IBV-99017069/2020
Swedish national genomic surveillance program of SARS-CoV-2 et al	1	unknown	unknown	unknown	hCoV-19/Sweden/SE00165149/2021
Elisa Martró et al	1	unknown	unknown	unknown	hCoV-19/Spain/CT-IBV-99009887/2020
"""Giovanni Savarese et al"	1	unknown	unknown	unknown	hCoV-19/Italy/CAM-AMES_38_93/2021
Abdul Karim sesay et al	1	unknown	unknown	unknown	hCoV-19/Gambia/9046/2020
Souleymane Mboup et al	1	unknown	unknown	unknown	hCoV-19/Senegal/SN-THI-20-1558/2020
Pablo Tsukayama et al	1	unknown	unknown	unknown	hCoV-19/Bolivia/SAN-UPCH-1011/2020
Authors from IBT et al	4	unknown	unknown	unknown	hCoV-19/Mexico/SON-InDRE-IBT-93/2020,hCoV-19/Mexico/VER-IBT-IMSS-556/2021,hCoV-19/Mexico/MEX-InDRE-IBT-121/2020,hCoV-19/Mexico/PUE-InDRE-IBT-308154-NC/2020
Juan David Ramírez et al	1	The arrival and spread of SARS-CoV2 in Colombia	unknown	https://www.medrxiv.org/content/10.1101/2020.06.11.20125799v1	hCoV-19/Colombia/VAC-GVI-97223/2020
EPICOVIGAL Consortium et al	1	unknown	unknown	unknown	hCoV-19/Spain/GA-EPI-CHUVI-2386/2020
Endre Gábor Tóth et al	2	unknown	unknown	unknown	hCoV-19/Hungary/MH-9653/2020,hCoV-19/Hungary/US-2901w/2020
Leontina Banica et al	1	unknown	unknown	unknown	hCoV-19/Romania/B-93207/2020
Anca-Lelia (Riza) Costache et al	2	unknown	unknown	unknown	hCoV-19/Romania/DJ29078/2020,hCoV-19/Romania/SC02389/2020
Maciej Sykulski et al	2	unknown	unknown	unknown	hCoV-19/Poland/5738614221_diag1_gx1/2020,hCoV-19/Poland/Masovia-12866/2020
Helena Jirincova et al	4	unknown	unknown	unknown	hCoV-19/CzechRepublic/NRL-3662-21/2021,hCoV-19/CzechRepublic/NRL-s1143/2023,hCoV-19/CzechRepublic/NRL-c2239/2023,hCoV-19/CzechRepublic/NRL-s2080/2023
Mert Kuskucu et al	1	unknown	unknown	unknown	hCoV-19/Turkey/CTF_11092020_122/2020
Placide Mbala-Kingebeni et al B	2	Phylogenetic analysis of SARS-CoV-2 in DRC	unknown	https://virological.org/t/phylogenetic-analysis-of-sars-cov-2-in-drc/528	hCoV-19/DRC/1326/2020,hCoV-19/DRC/82/2020
Lauren Cowley et al	1	unknown	unknown	unknown	hCoV-19/Bangladesh/G-38/2020
Emmanouil Athanasiadis et al	3	unknown	unknown	unknown	hCoV-19/Greece/89810/2021,hCoV-19/Greece/11853/2020,hCoV-19/Greece/328309/2022
David Brandt et al	1	unknown	unknown	unknown	hCoV-19/Germany/NW-UBI-192/2020
Sarah Belkalem et al	3	unknown	unknown	unknown	hCoV-19/Algeria/142249/2020,hCoV-19/Algeria/8382/2021,hCoV-19/Algeria/95788/2020
Vidanovic et al	1	unknown	unknown	unknown	hCoV-19/Serbia/Subotica-101360605/2020
Tarik Aanniz et al	1	unknown	unknown	unknown	hCoV-19/Morocco/FMP-81/2021
Fries et al	2	unknown	unknown	unknown	hCoV-19/Cuba/USAFSAM-S030/2020,hCoV-19/Cuba/USAFSAM-S031/2020
Cusi et al	1	unknown	unknown	unknown	hCoV-19/Italy/TUS-UOS-8/2020
Andrey Komissarov et al A	2	Genomic epidemiology of the early stages of SARS-CoV-2 outbreak in Russia	unknown	https://dx.doi.org/10.1101/2020.07.14.20150979	hCoV-19/Russia/StPetersburg-RII3992/2020,hCoV-19/Russia/StPetersburg-RII4984S/2020
Giuseppe Viglietto et al	1	unknown	unknown	unknown	hCoV-19/Italy/CAL-UNICZ_17/2020
Nathalia Ballesteros et al	1	unknown	unknown	unknown	hCoV-19/Colombia/AMA-GUR-06746/2020
